country,release_year,show_id,type,title,director,cast,date_added,rating,duration,listed_in,description
Afghanistan,2016,1,1,1,1,1,1,1,1,1,1
Albania,2018,1,1,1,1,1,1,1,1,1,1
Algeria,1979,1,1,1,1,1,1,1,1,1,1
Algeria,2020,1,1,1,1,1,1,1,1,1,1
Angola,2020,1,1,1,1,1,1,1,1,1,1
Argentina,1985,1,1,1,1,1,1,1,1,1,1
Argentina,1993,1,1,1,0,0,1,1,1,1,1
Argentina,1998,1,1,1,1,1,1,1,1,1,1
Argentina,2004,2,2,2,2,2,2,2,2,2,2
Argentina,2006,2,2,2,1,2,2,2,2,2,2
Argentina,2007,1,1,1,1,1,1,1,1,1,1
Argentina,2013,1,1,1,1,1,1,1,1,1,1
Argentina,2015,7,7,7,5,7,7,7,7,7,7
Argentina,2016,11,11,11,10,11,11,11,11,11,11
Argentina,2017,14,14,14,12,12,14,14,14,14,14
Argentina,2018,17,17,17,15,17,17,17,17,17,17
Argentina,2019,13,13,13,7,12,13,13,13,13,13
Argentina,2020,11,11,11,8,7,11,11,11,11,11
Armenia,2017,1,1,1,1,0,1,1,1,1,1
Australia,1979,1,1,1,1,1,1,1,1,1,1
Australia,1981,1,1,1,1,1,1,1,1,1,1
Australia,1986,1,1,1,0,1,1,1,1,1,1
Australia,1990,1,1,1,1,1,1,1,1,1,1
Australia,1992,2,2,2,2,2,2,2,2,2,2
Australia,1998,2,2,2,2,2,2,2,2,2,2
Australia,1999,1,1,1,0,1,1,1,1,1,1
Australia,2003,2,2,2,2,2,2,2,2,2,2
Australia,2005,3,3,3,3,3,3,3,3,3,3
Australia,2007,4,4,4,3,4,4,4,4,4,4
Australia,2008,1,1,1,1,1,1,1,1,1,1
Australia,2009,3,3,3,2,3,3,3,3,3,3
Australia,2010,8,8,8,8,8,8,8,8,8,8
Australia,2011,1,1,1,1,1,1,1,1,1,1
Australia,2012,3,3,3,2,2,3,3,3,3,3
Australia,2013,3,3,3,2,3,3,3,3,3,3
Australia,2014,4,4,4,4,3,4,4,4,4,4
Australia,2015,17,17,17,11,14,16,16,17,17,17
Australia,2016,17,17,17,7,14,17,17,17,17,17
Australia,2017,20,20,20,12,16,20,20,20,20,20
Australia,2018,21,21,21,11,20,21,21,21,21,21
Australia,2019,16,16,16,5,14,16,16,16,16,16
Australia,2020,12,12,12,4,12,12,12,12,12,12
Austria,2014,1,1,1,1,1,1,1,1,1,1
Austria,2016,2,2,2,2,1,2,2,2,2,2
Austria,2017,2,2,2,2,2,2,2,2,2,2
Austria,2018,3,3,3,3,2,3,3,3,3,3
Austria,2019,1,1,1,1,1,1,1,1,1,1
Austria,2020,2,2,2,1,2,2,2,2,2,2
Azerbaijan,2013,1,1,1,0,1,1,1,1,1,1
Bahamas,2006,1,1,1,1,1,1,1,1,1,1
Bangladesh,2012,1,1,1,1,1,1,1,1,1,1
Bangladesh,2018,2,2,2,2,2,2,2,2,2,2
Belarus,2016,1,1,1,0,1,1,1,1,1,1
Belgium,1991,1,1,1,1,1,1,1,1,1,1
Belgium,1999,1,1,1,1,1,1,1,1,1,1
Belgium,2007,1,1,1,0,1,1,1,1,1,1
Belgium,2011,3,3,3,3,3,3,3,3,3,3
Belgium,2012,1,1,1,1,1,1,1,1,1,1
Belgium,2013,7,7,7,7,7,7,7,7,7,7
Belgium,2014,3,3,3,3,3,3,3,3,3,3
Belgium,2015,7,7,7,7,6,7,7,7,7,7
Belgium,2016,15,15,15,15,14,15,15,15,15,15
Belgium,2017,14,14,14,10,14,14,14,14,14,14
Belgium,2018,16,16,16,15,16,16,16,16,16,16
Belgium,2019,11,11,11,9,9,11,11,11,11,11
Belgium,2020,5,5,5,3,5,5,5,5,5,5
Bermuda,2014,1,1,1,1,1,1,1,1,1,1
Botswana,2016,1,1,1,1,0,1,1,1,1,1
Brazil,2002,1,1,1,1,1,1,1,1,1,1
Brazil,2012,3,3,3,3,2,3,3,3,3,3
Brazil,2013,3,3,3,3,1,3,3,3,3,3
Brazil,2014,3,3,3,2,3,3,3,3,3,3
Brazil,2015,3,3,3,3,3,3,3,3,3,3
Brazil,2016,7,7,7,7,6,7,7,7,7,7
Brazil,2017,12,12,12,11,11,12,12,12,12,12
Brazil,2018,15,15,15,8,13,15,15,15,15,15
Brazil,2019,18,18,18,11,16,18,18,18,18,18
Brazil,2020,23,23,23,13,21,23,23,23,23,23
Bulgaria,2014,1,1,1,1,1,1,1,1,1,1
Bulgaria,2015,1,1,1,1,1,1,1,1,1,1
Bulgaria,2016,2,2,2,2,2,2,2,2,2,2
Bulgaria,2017,3,3,3,3,3,3,3,3,3,3
Bulgaria,2018,1,1,1,1,1,1,1,1,1,1
Bulgaria,2020,1,1,1,1,1,1,1,1,1,1
Cambodia,2016,2,2,2,2,2,2,2,2,2,2
Cambodia,2017,2,2,2,2,2,2,2,2,2,2
"Cambodia,",2018,1,1,1,1,1,1,1,1,1,1
Canada,1979,1,1,1,0,0,1,1,1,1,1
Canada,1980,1,1,1,1,1,1,1,1,1,1
Canada,1989,1,1,1,0,1,1,1,1,1,1
Canada,1993,1,1,1,0,1,1,1,1,1,1
Canada,1997,2,2,2,0,2,2,2,2,2,2
Canada,1998,2,2,2,1,2,2,2,2,2,2
Canada,1999,1,1,1,1,1,1,1,1,1,1
Canada,2000,3,3,3,3,3,3,3,3,3,3
Canada,2001,2,2,2,2,2,2,2,2,2,2
Canada,2002,2,2,2,2,2,2,2,2,2,2
Canada,2003,2,2,2,2,2,2,2,2,2,2
Canada,2004,4,4,4,4,4,4,4,4,4,4
Canada,2005,2,2,2,2,2,2,2,2,2,2
Canada,2006,3,3,3,2,3,3,3,3,3,3
Canada,2007,5,5,5,3,5,5,5,5,5,5
Canada,2008,3,3,3,3,3,3,3,3,3,3
Canada,2009,8,8,8,6,8,8,8,8,8,8
Canada,2010,14,14,14,11,13,14,14,14,14,14
Canada,2011,13,13,13,9,13,13,13,13,13,13
Canada,2012,14,14,14,9,14,14,14,14,14,14
Canada,2013,8,8,8,5,8,8,8,8,8,8
Canada,2014,28,28,28,23,25,28,28,28,28,28
Canada,2015,31,31,31,23,27,31,31,31,31,31
Canada,2016,54,54,54,38,51,54,54,54,54,54
Canada,2017,57,57,57,45,53,57,57,57,57,57
Canada,2018,64,64,64,45,56,64,64,64,64,64
Canada,2019,43,43,43,23,40,43,43,43,43,43
Canada,2020,41,41,41,20,38,41,41,41,41,41
Canada,2021,2,2,2,1,2,2,2,2,2,2
Cayman Islands,2018,1,1,1,1,1,1,1,1,1,1
Cayman Islands,2021,1,1,1,1,1,1,1,1,1,1
Chile,2012,1,1,1,1,1,1,1,1,1,1
Chile,2013,2,2,2,1,2,2,2,2,2,2
Chile,2015,6,6,6,4,6,6,6,6,6,6
Chile,2016,6,6,6,5,6,6,6,6,6,6
Chile,2017,3,3,3,3,3,3,3,3,3,3
Chile,2018,4,4,4,4,4,4,4,4,4,4
Chile,2019,2,2,2,2,2,2,2,2,2,2
Chile,2020,2,2,2,1,1,2,2,2,2,2
China,1986,1,1,1,1,1,1,1,1,1,1
China,1997,1,1,1,1,1,1,1,1,1,1
China,2000,1,1,1,1,1,1,1,1,1,1
China,2004,2,2,2,2,2,2,2,2,2,2
China,2005,1,1,1,1,1,1,1,1,1,1
China,2006,1,1,1,1,1,1,1,1,1,1
China,2007,1,1,1,1,1,1,1,1,1,1
China,2008,4,4,4,3,4,4,4,4,4,4
China,2010,5,5,5,3,5,5,5,5,5,5
China,2011,3,3,3,2,3,3,3,3,3,3
China,2012,2,2,2,0,2,2,2,2,2,2
China,2013,3,3,3,3,3,3,3,3,3,3
China,2014,4,4,4,4,4,4,4,4,4,4
China,2015,10,10,10,7,8,10,10,10,10,10
China,2016,25,25,25,19,24,25,25,25,25,25
China,2017,26,26,26,21,25,26,26,26,26,26
China,2018,22,22,22,16,21,22,22,22,22,22
China,2019,23,23,23,10,23,23,23,23,23,23
China,2020,12,12,12,6,12,12,12,12,12,12
Colombia,2003,1,1,1,0,1,1,1,1,1,1
Colombia,2007,1,1,1,1,0,1,1,1,1,1
Colombia,2008,2,2,2,0,2,2,2,2,2,2
Colombia,2010,1,1,1,0,1,1,1,1,1,1
Colombia,2012,2,2,2,1,1,2,2,2,2,2
Colombia,2015,1,1,1,0,1,1,1,1,1,1
Colombia,2016,4,4,4,2,4,4,4,4,4,4
Colombia,2017,4,4,4,2,4,4,4,4,4,4
Colombia,2018,14,14,14,7,13,14,14,14,14,14
Colombia,2019,9,9,9,3,9,9,9,9,9,9
Colombia,2020,6,6,6,2,6,6,6,6,6,6
Croatia,2012,1,1,1,1,1,1,1,1,1,1
Croatia,2015,1,1,1,1,1,1,1,1,1,1
Croatia,2016,1,1,1,1,1,1,1,1,1,1
Croatia,2018,1,1,1,0,1,1,1,1,1,1
Cuba,2016,1,1,1,0,1,1,1,1,1,1
Cyprus,2017,1,1,1,0,1,1,1,1,1,1
Czech Republic,2004,1,1,1,1,1,1,1,1,1,1
Czech Republic,2005,3,3,3,3,3,3,3,3,3,3
Czech Republic,2006,2,2,2,2,2,2,2,2,2,2
Czech Republic,2009,1,1,1,1,1,1,1,1,1,1
